state(s),date,time,dead,inj,yards,miles,F,counties
IA,06111944,1830,0,0,300,2,F2,PLYMOUTH
IA,06161944,1900,0,1,,8,F4,SIOUX
IA,06161944,2000,0,0,,5,F3,SIOUX
IA,06161944,2100,0,0,,8,F2,SIOUX
IA,06161944,2130,0,2,,10,F4,SIOUX /O’BRIEN
IA,07141944,1830,0,1,200,20,F2,KOSSUTH /HANCOCK
IA,08151944,1230,0,0,100,5,F2,CHICKASAW
IA,08171944,0030,0,0,200,2,F2,JACKSON
IA,03161945,2230,0,2,200,2,F2,HANCOCK
IA,03161945,2300,0,2,400,6,F2,HANCOCK
IA,03241945,1615,0,0,150,10,F2,BUTLER /BREMER
IA,05211945,1115,0,1,,9,F3,MONTGOMERY
IA,05211945,1210,0,0,100,817,F2,BLACK HAWK /BREMER
IA,05211945,1230,0,0,,17,F2,CASS /ADAIR /GUTHRIE
IA,05211945,1230,0,0,,,F2,FREMONT
IA,05211945,1330,0,6,500,10,F2,MADISON /DALLAS
IA,05311945,2350,0,2,200,7,F2,GREENE /BOONE
IA-IL,06271945,2000,0,0,,7,F2,SCOTT. IA /ROCK ISLAND. IL
IA,05301946,1410,0,20,400,2,F2,UNION
IA,06161946,1800,0,0,,5,F2,KOSSUTH
IA,06041947,1650,0,1,200,20,F2,MADISON
IA,06221947,2030,0,0,50,s9,F2,KOSSUTH
IA,04231948,1525,5,25,100,8,F4,CHICKASAW
IA,05161949,1800,0,0,50,,F2,GUTHRIE
IA,05211949,1600,0,0,400,0.5,F2,VAN BUREN
IA,05211949,1730,0,0,,4,F2,LEE
IA,06011949,1815,0,4,150,10,F4,PAGE
IA,06011949,1815,0,0,100,5,F2,PAGE
IA,06151950,2000,0,4,300,9,F3,STORY
IA,07011950,2000,0,0,,sI4,F2,BUCHANAN
IA,05011951,1630,0,0,,10,F2,BUTLER
IA,06011951,2115,0,7,800,1.5,F3,MARSHALL
IA,06251951,1607,1,8,500,3,F3,HANCOCK
IA,06021952,1730,1,2,100,3,F2,GRUNDY
IA,06231952,1830,0,4,400,20,F4,CHEROKEE
IA,03211953,1245,0,2,,5,F2,MONONA /WOODBURY
IA,03211953,1500,0,0,400,7,F2,EMMET
IA,03211953,1700,0,0,100,10,F2,TAMA
IA,05101953,1515,0,0,200,8,F4,WAYNE /LUCAS
IA,05101953,1610,0,3,800,28,F4,HANCOCK /CERRO GORDO /WORTH
IA,05101953,1630,0,0,,10,F2,TAMA
IA-MN,05101953,1715,1,5,400,40,F3,HOWARD. IA /FILLMORE /OLMSTED. MN
IA,05101953,1800,0,1,400,6,F2,CLAYTON
IA,05201953,2100,0,0,125,s20,F2,BUTLER /FLOYD
IA,05201953,2115,0,0,,s30,F2,CHICKASAW /HOWARD
IA,05201953,2210,0,7,400,32,F2,LINN /JONES
IA,05201953,2230,0,0,,15,F2,TAMA /BENTON
